,Argentina,Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,CABA
141,765.0,312.0,0.0,65.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,2.0,5.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,341.0
142,785.0,332.0,0.0,68.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,5.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,354.0
143,815.0,343.0,0.0,70.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,5.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,361.0
144,833.0,362.0,0.0,70.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,5.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,370.0
145,854.0,372.0,0.0,73.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,5.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,375.0
146,886.0,390.0,0.0,77.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,6.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,396.0
147,,,,,,,,,,,,,,,,,,,,,,,,,
148,948.0,403.0,0.0,78.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,7.0,33.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,422.0
149,979.0,417.0,0.0,81.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,8.0,34.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,439.0
150,1000.0,439.0,0.0,85.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,9.0,34.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,466.0
151,1011.0,439.0,0.0,85.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,9.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,466.0
152,1043.0,448.0,0.0,85.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,9.0,38.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,477.0
153,1085.0,470.0,0.0,91.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,3.0,10.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,516.0
154,1116.0,470.0,0.0,91.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,3.0,12.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,516.0
155,1150.0,482.0,0.0,91.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,3.0,12.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,531.0
156,1184.0,506.0,0.0,94.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,3.0,12.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,548.0
157,1207.0,526.0,0.0,94.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,3.0,13.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,562.0
158,1232.0,539.0,0.0,94.0,1.0,37.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,3.0,13.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,577.0
